name,artifact_count,occurrences,artifacts,appears_as,engines,modes,equipment_tags,exercise_ids,possible_same_as,sample_reps,sample_cue
"Estiramiento en pared, rodilla flexionada",1,1,Aquiles,main,strength,,Pared,wallBent,,2 min por lado,"Misma posición, pero flexionando levemente la rodilla de atrás sin despegar el talón. El estiramiento baja y se acerca al tendón: ahí está el sóleo."
Estocada inversa con brazos arriba,1,1,Recuperación,main,activation,uni,Sin equipo,reverseLunge,,45s,"Paso largo hacia atrás bajando la rodilla, con los dos brazos estirados por encima de la cabeza y las costillas abajo. Los brazos arriba son lo que convierte esto en trabajo de cadera y torácica a la vez."
Estocada lateral en media rodilla,1,1,Movilidad,main,activation,uni,Sin equipo,adductor,,45s,"De rodillas, una pierna estirada al costado con el pie apoyado, y lleva la cadera hacia atrás y hacia el lado contrario. Espalda larga. Es el aductor largo, que en carrera y en bici trabaja mucho más de lo que nadie cree."
Excéntricas en escalón,1,1,Recuperación,variant,activation,bi,Escalón,calfEcc_v1,,,"Media planta en el borde de un escalón. Sube con dos, baja con una dejando caer el talón por debajo del escalón, tres segundos. Si estás con el protocolo de aquiles, no sumes volumen aquí: cuenta estas series como parte de aquel."
Extensión de rodilla (rango terminal),1,1,Rodillas sin dolor,main,strength,,Máquina,legExt,,15,"Solo los últimos 30 grados, de rodilla apenas flexionada a estirada, con peso moderado y apretando arriba. El rango completo cizalla la rodilla; este pedacito aísla el vasto interno sin cobrarte nada."
Extensión torácica en cuadrupedia,1,1,Movilidad,main,activation,bi,Sin equipo,thoracicExt,Extensión torácica en el rodillo,60s,"De rodillas, antebrazos apoyados adelante y los glúteos hacia los talones. Hunde el pecho hacia el piso dejando que se abran las axilas. El movimiento es de la espalda alta: si se arquea la lumbar, acerca más los glúteos a los talones."
Face pull con banda,1,1,Hombro del nadador,main,strength,,Banda elástica,bandFacePull,,15,"Banda anclada a la altura de la cara. Trae las manos hacia la frente llevando los codos hacia atrás y girando las manos hacia arriba, hasta terminar como haciendo bíceps. Es el ejercicio que más directo pega en rotadores externos y trapecio medio a la vez."
Fascia plantar con pelota,1,1,Movilidad,variant,activation,uni,Pelota,footArch_v1,,,"Rueda la planta del pie sobre la pelota, del talón a los dedos, lento, frenando en los puntos que se quejan. Presión que puedas sostener respirando normal."
Figura 4 sentado,1,1,Core para el hotel,variant,activation,uni,,,,,"Sentado al borde de la cama, tobillo sobre la rodilla contraria, inclinación suave hacia adelante."
"Flexión ""plus"" (protracción)",1,1,Hombro del nadador,main,strength,,Sin equipo,pushPlus,,10-12,"Plancha alta —o de rodillas, o contra la pared si el hombro está sensible. Baja y sube normal, y arriba, con los codos ya estirados, empuja el piso un poco más hasta que la espalda alta se redondee. Ese centímetro extra es todo el ejercicio."
Flexión escapular,1,1,Recuperación,main,activation,bi,Sin equipo,scapPushup,,45s,"En plancha alta con los codos estirados todo el tiempo: deja caer el pecho juntando los omóplatos, y después empuja el piso separándolos al máximo. El movimiento es de tres o cuatro centímetros y es exactamente el músculo que le falta a un nadador."
Gato-camello sentado,1,1,Core para el hotel,variant,activation,bi,,,,,"Sentado al borde de la cama, manos en las rodillas, misma secuencia. Si el piso no es opción."
Gemelo en pared,1,1,Movilidad,main,activation,uni,Pared,calfGastro,,45s,"Misma posición, pero ahora con la rodilla estirada y el talón clavado en el piso. Rodilla derecha es gemelo. Cadera adelante y tronco erguido — si te vas de espaldas, perdiste el estiramiento."
Glúteo con pelota,1,1,Movilidad,variant,activation,uni,Pelota,fig4_v1,,,"Sentado sobre la pelota, busca el punto del glúteo que se queja y quédate quieto ahí respirando en vez de rodar. Cruza el tobillo sobre la rodilla para llegar más profundo."
Guerrero I a II y Triángulo,1,1,Recuperación,main,activation,uni,Sin equipo,warriorFlow,,120s,"Guerrero I con la cadera al frente, abre a Guerrero II girando el torso, y desde ahí baja al triángulo estirando el brazo largo. Sostén cada una unas cinco respiraciones antes de pasar a la siguiente. La rodilla de adelante siempre encima del tobillo, nunca por delante del pie."
I-Y-T boca abajo,1,1,Hombro del nadador,main,strength,,Sin equipo,proneIYT,,8 en cada posición,"Boca abajo, frente apoyada, pulgares al techo. Despega los brazos: adelante (I), en diagonal (Y) y en cruz (T). Junto los omóplatos hacia abajo, nunca hacia las orejas. Sin peso las tres veces primero; el peso viene después de que las 24 repeticiones salgan sin encoger el hombro."
Isométrico en puntas (escalón),1,1,Aquiles,main,strength,,Escalón,isoStep,,30-45s,"Con los dos pies en el borde del escalón, sube a puntas y sostén arriba, quieto. Los isométricos pesados son analgésicos naturales para el tendón: si arrancas con esto, el resto de la rutina duele menos."
Isométrico en puntas (piso),1,1,Aquiles,main,strength,,Sin equipo,isoFlat,,30-45s,"Igual, pero en piso plano, no en el escalón: con dolor en la inserción no queremos el talón por debajo del nivel del pie. Sube a puntas y sostén quieto arriba. Es el analgésico natural del tendón."
Isquios acostado,1,1,Activación adaptativa,main,activation,uni,Sin equipo,hamSupine,Isquios boca arriba,45s,"Acostado, sujeta el muslo por detrás de la rodilla con las dos manos. Desde ahí estira la rodilla hacia el techo hasta sentir el isquio, y no más. La otra pierna queda apoyada en el piso."
Isquios boca arriba,1,1,Movilidad,main,activation,uni,Sin equipo,hamSupine,Isquios acostado,45s,"Agárrate por detrás del muslo y estira la rodilla hasta donde llegue sin que la cadera se despegue del piso. La otra pierna queda apoyada. La punta del pie hacia ti solo al final, no desde el principio."
Isquios con contracción y suelta,1,1,Recuperación,main,activation,uni,Sin equipo,pnfHam,,90s,"Acostado, pierna al techo agarrada por detrás del muslo. Empuja el talón contra tus manos al 20% durante 5 segundos, suelta, y sube la pierna un poco más. Tres o cuatro ciclos. La pierna de abajo se queda apoyada todo el tiempo."
Marcha con rodilla alta,1,1,Activación adaptativa,main,activation,alt,Sin equipo,march,,,"Rodilla arriba, pie del suelo activo, tronco erguido. Sin balancearte hacia atrás para levantar más — esa es la trampa."
Marcha con rodilla alta y banda,1,1,Activación adaptativa,main,activation,alt,Minibanda,marchBand,,,"Banda en los tobillos. Misma marcha contra resistencia, despacio en la bajada: la banda quiere devolverte el pie al piso y ahí es donde se pierde el control."
Mariposa,1,1,Movilidad,main,activation,bi,Sin equipo,butterfly,,60s,"Plantas de los pies juntas, y inclínate desde la cadera con la espalda larga — no redondees para llegar más abajo, que es puro engaño. Los codos pueden empujar suave las rodillas."
Mariposa sentado,1,1,Core para el hotel,variant,activation,bi,,,,,"Plantas de los pies juntas, rodillas hacia afuera, inclinación suave hacia adelante desde la cadera."
Movilidad de tobillo sin forzar,1,1,Aquiles,main,strength,,Sin equipo,ankleMob,,90s por lado,"Sentado, círculos amplios y lentos con el tobillo, y después puntas hacia adelante sostenidas. Aquí no hay estiramiento de gemelo a propósito: con dolor en la inserción, llevar el pie a dorsiflexión máxima comprime el tendón contra el hueso, que es exactamente lo que estamos evitando toda la rutina. Movilidad sí, tironeo no."
Paloma (pigeon),1,1,Core para el hotel,main,activation,uni,Piso,,,60s,"Pierna de adelante flexionada cruzada bajo el cuerpo, pierna de atrás estirada y alineada, no abierta al costado. Presiona activamente la espinilla de adelante contra el piso en vez de derrumbarte encima. Sesenta segundos: el glúteo y el piriforme necesitan tiempo, no fuerza. Si la rodilla molesta, pon una almohada bajo la cadera."
Pasada de banda por encima,1,1,Activación adaptativa,main,activation,bi,Banda larga,bandOverhead,,,"Agarre bien ancho, brazos estirados, pasa la banda de adelante hacia atrás por encima de la cabeza. La banda cede donde el bastón no. Frena apenas se te abran las costillas o se te suban los hombros — hasta ahí llega tu rango de hoy."
Perro abajo a perro arriba,1,1,Recuperación,main,activation,bi,Sin equipo,dogFlow,,120s,"Fluye entre las dos posturas al ritmo de la respiración: exhalas hacia perro boca abajo empujando los talones al piso, inhalas pasando a perro boca arriba abriendo el pecho. Sin apurar el tránsito: la mitad del beneficio está en el camino, no en las dos fotos."
Perro boca abajo sostenido,1,1,Core para el hotel,variant,activation,bi,,,,,"Quédate en el perro boca abajo todo el bloque, pedaleando suave con los talones."
Peso muerto a una pierna,1,1,Core del corredor,main,strength,,Apoyo unipodal,slDeadlift,,8-10 por pierna,"De pie sobre una pierna, rodilla apenas flexionada. Lleva el tronco adelante y la pierna libre atrás hasta que queden en una sola línea, y vuelve sin apoyar. La cadera libre no se abre: las dos crestas ilíacas miran al piso. Es el ejercicio que más se parece a correr de toda la lista — cadena posterior, equilibrio y anti-rotación, sobre un solo pie. Si te tambaleas, acorta el rango antes que tocar el piso con la otra punta."
Peso muerto rumano,1,1,Rodillas sin dolor,main,strength,,Barra o mancuernas,rdl,,10-12,"Bisagra de cadera, no sentadilla: los glúteos van hacia atrás y las rodillas casi no se mueven. Una cadena posterior fuerte le saca a la rodilla el trabajo de frenar."
Pie corto,1,1,Aquiles,main,strength,,Sin equipo,shortFoot,,30s por lado,"Descalzo, pie apoyado, acerca la base de los dedos al talón levantando el arco, sin arrugar los dedos y sin girar el tobillo. Es diminuto y cuesta encontrarlo; cuando aparece, sientes el arco activo. El pie y el aquiles se reparten el resorte: si el arco se cae, el tendón paga la diferencia."
Piernas en la pared,1,1,Movilidad,main,activation,bi,Pared,wallLegs,,120s,"Glúteos cerca de la pared, piernas verticales apoyadas en ella, brazos al costado. Dos minutos enteros, y no estás estirando nada: estás bajando pulsaciones y sacándote el peso de las piernas. Si tira mucho de los isquios, aleja los glúteos de la pared."
Plancha alta a perro boca abajo,1,1,Core para el hotel,main,activation,bi,Boca abajo,,,,"Desde la plancha alta, empuja la cadera arriba y atrás hasta el perro boca abajo, buscando talones al piso, y vuelve. Es el puente entre el core y la movilidad: estira gemelos e isquios sin dejar de pedirle tensión al tronco. Rodillas apenas flexionadas si los isquios están duros — la espalda recta manda sobre las piernas estiradas."
Plancha alta a rodillas,1,1,Core para el hotel,variant,activation,bi,,,,,"Desde la plancha alta, baja a rodillas y vuelve. Si el hombro molesta en el perro boca abajo."
Plancha alta con alcance al frente,1,1,Core del corredor,main,strength,,Anti-rotación,plankReach,,16-20 alcances,"Plancha alta, pies a la anchura de los hombros. Estira un brazo hacia adelante como si quisieras tocar la pared, sostén 2 segundos y baja. Alterna. Costillas abajo y cadera quieta — al sacar un apoyo el tronco tiene que resistir la rotación, que es exactamente lo que le pide el braceo. Cada grado que rota el tronco es energía que no fue hacia adelante."
Plancha alta con toque de hombro,1,1,Core para el hotel,main,activation,alt,Boca abajo,,,,"Plancha alta con los pies bien separados — cuanto más juntos, más difícil de estabilizar. Toca el hombro contrario con una mano y vuelve. El objetivo no es tocar rápido: es que la cadera no se mueva ni un centímetro, ni de lado ni rotando. Si la cadera baila, separa más los pies o apoya las rodillas."
Plancha alta isométrica,1,1,Core para el hotel,variant,activation,bi,,,,,Sostén la plancha alta empujando el piso con las manos y la espalda ancha. Sin movimiento.
Plancha con alcance cruzado,1,1,Core del ciclista,main,strength,,Anti-rotación,crossReach,,10-12 alcances,"En plancha alta, estira una mano lejos y cruzada, pasando la línea de la otra mano, lento. La cadera no rota ni se hunde. Es la versión sin peso del arrastre: pide la misma tensión cruzada entre el dorsal de un lado y el glúteo del otro — la conexión de tirar del manillar mientras empujas el pedal contrario."
Plancha con rodillas apoyadas,1,1,Core para el hotel,variant,activation,alt,,,,,"Mismo toque de hombro, con las rodillas en el piso. La regresión correcta, no una versión menor."
Plancha copenhague (modificada),1,1,Rodillas sin dolor,main,strength,,Silla o sillón,copenhagen,,20-30s por lado,"Plancha lateral con la rodilla de arriba apoyada en la silla y la pierna de abajo despegada del piso. Trabaja los aductores, que son el contrapeso de la banda iliotibial del lado de afuera."
Plancha de oso con toques de hombro,1,1,Core del ciclista,main,strength,,Anti-rotación,bearTaps,,16-20 toques,"En cuadrupedia con las rodillas despegadas unos centímetros del piso, toca el hombro contrario con una mano. La cadera no bascula ni un grado. Con la rodilla debajo de la cadera el ángulo se parece mucho más al de la bici que una plancha larga — y es más difícil de lo que parece."
Plancha en tensión de streamline,1,1,Activación adaptativa,main,activation,bi,Sin equipo,swimStreamline,,40s,"Plancha alta. Mete la pelvis, aprieta el abdomen al máximo y alinéate como una flecha, con la cabeza neutra mirando al piso y no al frente. Es el tono que evita que la cadera se hunda en crol y mariposa. Una sola vez, bien hecha."
Plancha larga,1,1,Core del ciclista,main,strength,,Anti-extensión,longPlank,,20-30s,"Plancha de antebrazos, pero con los codos bastante más adelante que los hombros. Pelvis metida, costillas hacia abajo. Cuanto más adelante los codos, más brutal — busca la distancia donde puedes aguantar 20 segundos sin que la lumbar se hunda, ni un centímetro más."
Plancha lateral,1,1,Core para el hotel,main,activation,uni,De costado,,,,"Codo debajo del hombro, cuerpo en línea de cabeza a pies. Empuja la cadera de abajo hacia el techo en lugar de solo aguantar la posición — es la diferencia entre sostener y trabajar. Si tiembla, está bien; si la cadera se cae, corta el bloque antes."
Plancha lateral con rodilla al pecho,1,1,Core del corredor,main,strength,,Anti-flexión lateral,sidePlankKnee,,10-12 por lado,"Antebrazo debajo del hombro, cadera arriba y en línea. Ya estable, lleva la rodilla de la pierna de arriba al pecho como en la fase de vuelo y vuelve a extenderla. La cadera de abajo no baja ni un centímetro. El glúteo medio del lado de apoyo es el que evita que la pelvis colapse en cada aterrizaje, y de ese colapso salen la cintilla iliotibial y buena parte de las rodillas."
Plancha lateral con rodillas apoyadas,1,1,Core para el hotel,variant,activation,uni,,,,,"Rodillas flexionadas y apoyadas. Misma línea de tronco, menos palanca."
Plancha lateral dinámica,1,1,Recuperación,main,activation,uni,Sin equipo,sidePlank,Plancha lateral con elevación de pierna,45s,"Sobre el antebrazo, cadera arriba y cuerpo en línea. Baja la cadera hasta rozar el piso y vuelve a subir, lento y controlado. Con las rodillas apoyadas si la versión larga te rompe la línea."
Pogos (saltitos de tobillo),1,1,Aquiles,main,strength,,Sin equipo,pogo,,20,"Saltitos chicos en el lugar, solo desde el tobillo, con la rodilla casi fija. El contacto tiene que ser corto y sonar poco. No buscas altura: buscas rigidez elástica, que es lo que el tendón hace cuando corres."
Postura de la paloma,1,1,Rodillas sin dolor,main,strength,,Sin equipo,pigeon,,2 min por lado,"Para glúteo mayor y piramidal, que se agarrotan con las horas de sillín y de asfalto. Respira y suelta; dos minutos no son dos minutos de forcejeo."
Postura de la rana,1,1,Recuperación,main,activation,bi,Sin equipo,frog,,180s,"Rodillas abiertas y en línea con la cadera, tobillos detrás de las rodillas, antebrazos en el piso. Baja la cadera hasta el primer punto de tensión y quédate ahí tres minutos respirando, sin buscar más. Esta es una postura pasiva: el tiempo hace el trabajo, tú no. Solo en un día sin sesión — sobre tejido recién entrenado no va."
Postura del niño a cobra,1,1,Core para el hotel,main,activation,bi,Piso,,,,"Flujo lento: siéntate sobre los talones con los brazos estirados adelante, después deslízate hacia adelante dejando caer la cadera al piso y abriendo el pecho. Ida y vuelta, respirando. Cierra la rutina moviendo toda la columna en los dos sentidos — termina quedándote en la postura del niño hasta que suene el timer."
Postura del niño con sesgo dorsal,1,1,Hombro del nadador,main,strength,,Sin equipo,childLat,,2 min,"Sentado sobre los talones, brazos estirados adelante. Camina las dos manos bien hacia la izquierda para estirar el dorsal derecho, respira ahí, y después hacia la derecha. El dorsal es lo que tira el hombro a rotación interna; si no lo sueltas, todo lo de arriba trabaja en contra."
Postura del niño sostenida,1,1,Core para el hotel,variant,activation,bi,,,,,"Sentado sobre los talones, brazos estirados adelante, frente apoyada. Sin flujo, solo respirar."
Prensa a una pierna,1,1,Rodillas sin dolor,main,strength,,Prensa,legPress,,10 por pierna,"Pie alto y levemente hacia afuera en la plataforma, para cargar glúteo y vasto interno. Controla la bajada; no rebotes abajo."
Press de kettlebell invertida,1,1,Hombro del nadador,main,strength,,Kettlebell liviana,bottomsUp,,8 por brazo,"Kettlebell al revés, agarrada del mango con la pesa apuntando al techo, y presionas por arriba. Empieza con una ridículamente liviana: mantenerla derecha exige del manguito todo lo que este bloque viene entrenando, y ahí es donde se nota si el hombro ya está estable."
Psoas con contracción y suelta,1,1,Recuperación,main,activation,uni,Sin equipo,pnfHip,,90s,"Media rodilla con la pelvis metida. Empuja la rodilla de atrás contra el piso al 20% durante 5 segundos, suelta, y avanza un poco. Repite tres o cuatro veces en el bloque. Ese contraer-y-soltar es lo que gana rango de verdad; sin él es un estiramiento más."
Psoas de rodillas,1,1,Activación adaptativa,main,activation,uni,Sin equipo,hipflex,Psoas con apriete de glúteo,45s,"Media rodilla, pie de adelante plano. Mete la pelvis (glúteos por debajo) antes de avanzar — sin eso estás estirando la lumbar, no el psoas."
Puente a una pierna isométrico,1,1,Core del corredor,main,strength,,Cadena posterior,slBridgeIso,,30-40s por pierna,"Un talón apoyado cerca de los glúteos, la otra rodilla abrazada al pecho. Sube la cadera hasta alinear rodilla, cadera y hombro y quédate ahí. Si lo sientes en la lumbar o en los isquios, mete la pelvis y baja un poco la altura: buscamos glúteo mayor, que es lo que sostiene y propulsa mientras estás apoyado en un solo pie."
Puente de glúteos con banda,1,1,Activación adaptativa,main,activation,bi,Minibanda,bridgeBand,,,"Banda por encima de las rodillas. Mismo movimiento, pero empuja las rodillas hacia afuera contra la banda todo el tiempo — ahí es donde entra el glúteo medio."
Puente de glúteos con marcha,1,1,Core del corredor,main,strength,,Sin equipo,bridgeMarch,,20 repeticiones,"Cadera arriba y fija; despega un pie por vez llevando la rodilla al pecho y alterna. La pelvis no cae para ningún lado. Si se hunde, el glúteo todavía no está despierto — baja el ritmo antes que el rango."
Remo con mancuernas en banco inclinado,1,1,Hombro del nadador,main,strength,,Banco inclinado,inclineRow,,12,"Boca abajo sobre el banco a 30-45°. Rema apretando el medio de la espalda. El banco es el punto: te saca la lumbar de la ecuación, así que el peso lo levanta lo que tiene que levantarlo."
Remo en el marco de la puerta,1,1,Hombro del nadador,main,strength,,Marco de puerta,doorRow,,12 por brazo,"Agarra el marco con una mano, pies cerca, y déjate caer hacia atrás con el cuerpo derecho. Tracciona. El codo va hacia atrás pegado al cuerpo y el omóplato baja, no sube — si sientes el cuello, el trapecio superior te ganó de mano."
Respiración de cierre,1,1,Movilidad,main,activation,bi,Sin equipo,breathClose,,180s,"Boca arriba, rodillas dobladas, una mano en el pecho y otra en el abdomen. Inhala 4 segundos por la nariz llevando el aire al abdomen, exhala 6 por la boca. La exhalación larga es la que baja el sistema nervioso, y es lo que convierte esto en recuperación y no en una entrada en calor tardía. Si quieres un protocolo con timer, tienes Respiración en caja."
Rodilla a la pared,1,1,Recuperación,main,activation,uni,Pared,kneeWall,,45s,"Pie a un palmo de la pared, toca la pared con la rodilla sin que el talón se despegue. Si llegas fácil, aleja el pie un centímetro y vuelve a probar. Es la medida más honesta de tu tobillo, y mejora con repeticiones, no con fuerza."
Rodilla al pecho,1,1,Activación adaptativa,main,activation,uni,Sin equipo,kneeChest,,30s,"Acostado, trae una rodilla al pecho con la otra pierna extendida en el piso. Si la pierna de abajo se despega, la cadera está corta — bájala y afloja el rango."
Rodillo: dorsal,1,1,Hombro del nadador,main,strength,,Rodillo,rollLat,,60-90s por lado,"De costado, el rodillo justo debajo de la axila, sobre el costado de las costillas. Cuando encuentres un punto sensible, frena ahí y sube y baja el brazo despacio — ese barrido despega el tejido mucho más que seguir rodando. El dorsal es el que te enrolla el hombro hacia adelante."
Rodillo: TFL,1,1,Rodillas sin dolor,main,strength,,Foam roller,rollTFL,,60-90s por lado,"El musculito arriba y adelante de la cadera, donde nace la banda iliotibial. No pases el rodillo por la banda iliotibial en el costado del muslo: es tendón, no músculo, y rodarla inflama más. Rueda aquí arriba, que es lo que la tensa."
Rotación de cuello para respirar,1,1,Activación adaptativa,main,activation,uni,Sin equipo,neckRot,,30s,"Gira la cabeza como si respiraras al costado, despacio, y sostén mirando atrás. El mentón se queda bajo, cerca del hombro. Un cuello rígido después de un día de escritorio es por qué la cabeza se levanta en vez de rotar — y levantar la cabeza hunde la cadera."
Rotación externa acostado de costado,1,1,Hombro del nadador,main,strength,,Sin equipo,sideLyingER,,15-20 por brazo,"De costado sobre el lado sano, el brazo de arriba con el codo pegado a las costillas (una toalla enrollada abajo ayuda) y flexionado a 90°. Gira el antebrazo hacia el techo. Poco o nada de peso y muchas repeticiones: el manguito es un grupo de resistencia, no de fuerza máxima. Una botella chica de agua alcanza y sobra."
Rotación externa con banda,1,1,Hombro del nadador,main,strength,,Banda elástica,bandER,,15-20 por brazo,"Banda atada al picaporte, de costado, codo pegado a las costillas con una toalla enrollada abajo. Gira el antebrazo hacia afuera. Poca resistencia y muchas repeticiones — si tienes que tirar con el cuerpo, la banda es demasiado dura."
Rotación externa con minibanda,1,1,Recuperación,variant,activation,uni,Minibanda,extRotation_v1,,,"Banda anclada a la altura del codo, codo pegado al cuerpo. Rota hacia afuera y vuelve más lento de lo que fuiste. Rango corto y control."
Rotación externa en polea,1,1,Hombro del nadador,main,strength,,Polea baja,cableER,,15 por brazo,"Igual que con banda, pero la polea mantiene la tensión pareja en todo el recorrido. Codo pegado, toalla abajo. Peso bajo y sin tirones: aquí no se busca carga, se busca fondo."
Saltos a una pierna,1,1,Aquiles,main,strength,,Sin equipo,slHop,,10 por lado,"Saltitos en el lugar sobre una pierna, aterrizando en el metatarso con la rodilla suave. Es el último escalón antes de volver a correr fuerte. Si mañana amaneces más rígido que hoy, era demasiado pronto."
Saludo al sol lento,1,1,Recuperación,main,activation,bi,Sin equipo,sunFlow,,240s,"Secuencia completa y lenta, un movimiento por respiración: de pie, manos arriba, pliégate hacia adelante, media elevación, plancha, perro boca abajo, paso adelante, y vuelve. Repítela las veces que entren en el bloque, alternando qué pierna adelanta. Es la única parte de la sesión que te va a subir un poco las pulsaciones, y está bien que sea así."
Sentadilla a de pie,1,1,Activación adaptativa,main,activation,bi,Sin equipo,squat2stand,,,"Agárrate las puntas de los pies, hunde la cadera hasta abajo y sube el pecho sin soltar los pies. Después estira las piernas para estirar isquios. Un ciclo por repetición, lento."
Sentadilla a de pie con banda,1,1,Activación adaptativa,main,activation,bi,Minibanda,squat2standBand,,,"Banda por encima de las rodillas. Mismo movimiento, rodillas empujando hacia afuera todo el descenso — no dejes que se junten al subir."
Sentadilla búlgara,1,1,Rodillas sin dolor,main,strength,,Silla o sillón,bulgarian,,8-12 por pierna,"Pie de atrás sobre la silla, pecho arriba. La rodilla de adelante viaja sobre el dedo del medio, nunca hacia adentro. Si se mete, acorta el rango antes de acortar la técnica."
Sentadilla con alcance al techo,1,1,Activación adaptativa,main,activation,bi,Sin equipo,swimSquat,,,"Baja a sentadilla profunda y al subir estira los brazos al techo, terminando en puntas de pie. Conecta la extensión del tobillo con la apertura del hombro — y es lo que más rápido te sube la temperatura si la piscina está fría."
Sentadilla cosaca,1,1,Recuperación,main,activation,uni,Sin equipo,cossack,,60s,"Pies bien abiertos, baja el peso sobre una pierna dejando la otra estirada con la punta del pie arriba. Pecho alto y talón de la pierna que baja pegado al piso. Pasa de lado a lado despacio; no llegues hasta abajo si la espalda se redondea."
Sentadilla profunda sostenida,1,1,Recuperación,main,activation,bi,Sin equipo,deepSquatHold,,120s,"Abajo del todo, talones en el piso, codos por dentro de las rodillas empujando suave hacia afuera. Muévete adentro de la postura: de lado a lado, un poco adelante y atrás. Si los talones se levantan, apóyalos sobre algo — la posición correcta con ayuda vale más que la incorrecta sin ella."
Simulación de agarre con banda,1,1,Activación adaptativa,main,activation,bi,Banda larga,catchSim,,,"Banda anclada a media altura o pisada. Inclínate un poco adelante y empuja hacia los muslos con el brazo largo y el codo alto. Buscas recordar la presión, no corregir la técnica: es para llegar al agua con el gesto despierto, y la técnica se trabaja en el agua con tu entrenador de natación."
Skip A lento,1,1,Activación adaptativa,main,activation,alt,Sin equipo,aSkip,,,"Rodilla a la altura de la cadera, pie de apoyo firme, brazos de carrera. Postura alta y contacto corto — es técnica, no cardio."
Skipping bajo,1,1,Aquiles,main,strength,,Sin equipo,skip,,30s,"Skipping suave en el lugar o avanzando. Rebote rápido, apoyo de metatarso, sin machacar el talón. Si el tendón habla, se corta el bloque — no se negocia."
Sóleo en pared,1,1,Movilidad,main,activation,uni,Pared,calfWall,,45s,"Punta del pie contra la pared, talón en el piso, y lleva la rodilla hacia la pared manteniéndola flexionada. Rodilla doblada es sóleo, y el sóleo es el que se come la carga cuando corres. Si lo sientes en la vientre del gemelo, dobla más la rodilla."
Step-down excéntrico,1,1,Rodillas sin dolor,main,strength,,Escalón,stepDown,,10 por pierna,"De costado en un escalón, baja el otro pie hacia el piso en 3-4 segundos y sube rápido. La lentitud de la bajada es todo el ejercicio — apunta al vasto interno, el que endereza la rótula."
Tensor y vasto externo con rodillo,1,1,Movilidad,variant,activation,uni,Rodillo,itCross_v1,,,"El rodillo justo debajo del hueso de la cadera por fuera, y después en el lateral del muslo. Presión moderada y lenta. No busques la cintilla: busca el músculo de arriba y el de adelante-afuera."
Tobillos y empeine,1,1,Movilidad,main,activation,bi,Sin equipo,ankleKick,,45s,"Sentado sobre los talones con los empeines planos en el piso, y sube apenas las rodillas para cargar el empeine. Después, círculos amplios de tobillo. Si vienes de nadar, un tobillo que no apunta frena la patada; si vienes de correr, es el que se te puso duro."
Toques de talón (pingüinos),1,1,Core para el hotel,main,activation,alt,Boca arriba,,,,"Rodillas flexionadas, pies apoyados, omóplatos apenas despegados del piso y ahí se quedan todo el bloque. Inclínate a un lado hasta tocar el talón con la mano, después al otro. Rango corto y rápido: son oblicuos, no abdominales de revista. Si la cabeza se apoya entre repetición y repetición, el estímulo se corta."
Tríceps y dorsal por encima de la cabeza,1,1,Movilidad,main,activation,uni,Sin equipo,tricep,,30s,"Codo arriba junto a la oreja, mano entre los omóplatos, y empuja suave el codo con la otra mano. Costillas abajo — si la lumbar se arquea, ganaste rango con la espalda y no con el hombro."
Y-T-W con banda,1,1,Recuperación,variant,activation,bi,Banda larga,ytwl_v1,,,"De pie con la banda al frente, misma secuencia contra resistencia baja. Muchas repeticiones y poca tensión — el manguito posterior responde a eso, no a la carga."
Zancada atrás con rodilla arriba,1,1,Rodillas sin dolor,main,strength,,Sin equipo,revLunge,,12 por pierna,"Paso atrás a la zancada y, sin pausa, sube esa rodilla al pecho en un solo movimiento. Es estabilidad dinámica: la mitad del ejercicio es no tambalearte al subir."
Zancada baja con glúteo activo,1,1,Core para el hotel,variant,activation,uni,,,,,"Sin apoyar el pie en la cama: zancada baja, rodilla atrás en el piso, glúteo apretado, cadera adelante."
Zancada baja con rotación,1,1,Core para el hotel,variant,activation,uni,,,,,"Rodilla de atrás apoyada, misma rotación de tronco. Menos exigente para el equilibrio."
Zancada con manos en el piso,1,1,Core para el hotel,variant,activation,uni,,,,,"Sin rotación: quédate en la zancada profunda con las dos manos apoyadas, dejando caer la cadera."
Zancada inversa con rotación,1,1,Core del corredor,main,strength,,Rotación · integración bípeda,lungeRot,,10-12 por pierna,"Paso atrás a zancada. En la posición baja, con los brazos extendidos al frente, rota el tronco hacia el lado de la pierna que quedó adelante, vuelve al centro y sube. La rodilla de adelante no se mete hacia adentro. Aquí el trabajo del piso pasa a la posición del corredor: cadera y rodilla estables mientras el tren superior rota controlado."
Zancada spiderman con rotación,1,1,Recuperación,main,activation,uni,Sin equipo,spiderman,,60s,"Desde plancha, lleva el pie por fuera de la mano del mismo lado. Baja el codo hacia el piso, y desde ahí rota abriendo el brazo al techo. Dos o tres repeticiones lentas por lado dentro del bloque, no una sola sostenida."
