exercise_name_es,artifact,type,parent_exercise,tag,dose,name_en,name_pt,cue_es,cue_en,cue_pt
Rotación externa en polea,hombro,main,,Polea baja,3×15 por brazo,Cable External Rotation,Rotação externa na polia,"Polea a la altura del codo, codo pegado, toalla entre codo y costillas. Rota hacia afuera. Peso bajo y sin tirones: aquí no se busca carga, se busca calidad.","Cable at elbow height, elbow pinned, towel between elbow and ribs. Rotate out. Light weight, no yanking: you're chasing quality, not load.","Polia na altura do cotovelo, cotovelo colado, toalha entre cotovelo e costelas. Gire para fora. Peso baixo e sem puxões: aqui não se busca carga, se busca qualidade."
Sentadilla a de pie,activacion,main,,Sin equipo,,Squat-to-Stand,Agachamento ao chão,"Agárrate las puntas de los pies, hunde la cadera y sube el pecho sin soltar. Después estira las piernas para abrir los isquios. Un ciclo por repetición, lento.","Grab your toes, drop the hips and lift the chest without letting go. Then straighten the legs to open the hamstrings. One slow cycle per rep.","Segure as pontas dos pés, afunde o quadril e suba o peito sem soltar. Depois estenda as pernas para abrir os posteriores. Um ciclo por repetição, devagar."
Mariposa,movilidad,main,,Sin equipo,60s,Butterfly Stretch,Borboleta,Plantas juntas. Inclínate desde la cadera con la espalda larga: redondear para llegar más abajo es puro engaño. Los codos pueden empujar suave las rodillas.,Soles together. Hinge from the hips with a long spine: rounding to get lower is just cheating the shape. Elbows can gently press the knees.,Plantas juntas. Incline a partir do quadril com as costas longas: arredondar para chegar mais baixo é só trapaça. Os cotovelos podem empurrar de leve os joelhos.
Aducción en polea o máquina,rodillas,main,,Polea o máquina,3×12-15 por lado,Cable or Machine Hip Adduction,Adução na polia ou máquina,"De costado a la polea o en la máquina de aductores. Cierra la pierna en rango completo, sin rebote. El tronco no se inclina para ayudar.","Side-on to the cable, or on the adductor machine. Bring the leg in through a full range, no bounce. Don't lean the torso to help.","De lado para a polia ou na máquina de adutores. Feche a perna em amplitude completa, sem quique. O tronco não se inclina para ajudar."
Escorpión boca abajo,recuperacion,main,,Sin equipo,45s,Prone Scorpion,Escorpião de bruços,"Boca abajo, brazos en cruz. Lleva un talón cruzado hacia la mano contraria dejando que la cadera rote, pecho lo más pegado al piso que puedas. Lento a la ida y a la vuelta.","Face down, arms in a T. Sweep one heel across toward the opposite hand and let the hip rotate, chest as close to the floor as you can keep it. Slow out, slow back.","De bruços, braços em cruz. Leve um calcanhar cruzado até a mão contrária deixando o quadril girar, peito o mais colado no chão que conseguir. Devagar na ida e na volta."
Cuádriceps de costado,movilidad,main,,Sin equipo,45s,Side-Lying Quad Stretch,Quadríceps de lado,"De costado, agarra el tobillo de arriba y lleva el talón al glúteo. Pelvis metida, rodilla apuntando al piso, no abierta hacia afuera. Si la lumbar se arquea, afloja el rango.","On your side, grab the top ankle and bring the heel to the glute. Pelvis tucked, knee pointing at the floor, not flared out. If the low back arches, ease off.","De lado, pegue o tornozelo de cima e leve o calcanhar ao glúteo. Pelve encaixada, joelho apontando para o chão, não aberto para fora. Se a lombar arquear, solte a amplitude."
Círculos de tobillo + elevación,activacion,main,,Sin equipo,,Ankle Circles + Calf Raise,Círculos de tornozelo + elevação,"Diez círculos en cada dirección con cada pie, después elevaciones de talón lentas. El tobillo es la primera articulación que toca el piso: si está dormido, todo lo de arriba compensa.","Ten circles each way on each foot, then slow calf raises. The ankle is the first joint that hits the ground: if it's asleep, everything above it compensates.","Dez círculos em cada direção com cada pé, depois elevações de panturrilha lentas. O tornozelo é a primeira articulação que toca o chão: se estiver dormindo, tudo acima compensa."
Remo con mancuernas en banco inclinado,hombro,main,,Banco inclinado,3×12,Chest-Supported Dumbbell Row,Remada com halteres no banco inclinado,"Boca abajo sobre el banco a 30-45°. Rema apretando el medio de la espalda, omóplatos abajo. El banco saca la lumbar de la ecuación.","Face down on a 30–45° bench. Row by squeezing mid-back, blades down. The bench takes the low back out of it.","De bruços no banco a 30–45°. Reme apertando o meio das costas, omoplatas para baixo. O banco tira a lombar da conta."
Búlgara con mancuernas,rodillas,main,,Mancuernas,3×8-10 por pierna,Dumbbell Bulgarian Split Squat,Búlgaro com halteres,"Pie de atrás elevado, mancuernas a los lados, pecho arriba. Rodilla de adelante sobre el segundo dedo. Suma peso solo cuando las repeticiones salgan sin que la rodilla se meta.","Back foot elevated, dumbbells at the sides, chest tall. Front knee over the second toe. Add load only when the reps happen without the knee caving.","Pé de trás elevado, halteres ao lado, peito alto. Joelho da frente sobre o segundo dedo. Some peso só quando as repetições saírem sem o joelho entrar."
Isquios acostado,activacion,main,,Sin equipo,45s,Supine Hamstring Stretch,Posteriores deitado,"Boca arriba, sujeta el muslo por detrás de la rodilla. Desde ahí estira la rodilla hacia el techo hasta sentir el isquio, y no más. La otra pierna queda apoyada en el piso.","On your back, hold the thigh behind the knee. From there straighten the knee toward the ceiling until you feel the hamstring — and no further. Other leg stays on the floor.","De barriga para cima, segure a coxa atrás do joelho. Dali estenda o joelho em direção ao teto até sentir o posterior, e não mais. A outra perna fica no chão."
Tríceps y dorsal por encima de la cabeza,movilidad,main,,Sin equipo,30s,Overhead Triceps and Lat Stretch,Tríceps e dorsal acima da cabeça,"Codo arriba junto a la oreja, mano entre los omóplatos. Empuja suave el codo con la otra mano. Costillas abajo: si la lumbar se arquea, ganaste rango con la espalda y no con el hombro.","Elbow up by the ear, hand between the shoulder blades. Gently press the elbow with the other hand. Ribs down: if the low back arches, you stole range from the spine, not the shoulder.","Cotovelo no alto junto da orelha, mão entre as omoplatas. Empurre de leve o cotovelo com a outra mão. Costelas para baixo: se a lombar arquear, você ganhou amplitude com as costas e não com o ombro."
Step-down excéntrico,rodillas,main,,Escalón,3×10 por pierna,Eccentric Step-Down,Step-down excêntrico,"De pie en un escalón, baja el otro pie hacia el piso en 3-4 segundos y sube rápido. La lentitud de la bajada es todo el ejercicio. Rodilla sobre el segundo dedo.","Stand on a step, lower the free foot toward the floor in 3–4 seconds and come up quickly. The slow lower is the whole exercise. Knee over the second toe.","Em pé num degrau, desça o outro pé em direção ao chão em 3–4 segundos e suba rápido. A lentidão da descida é o exercício inteiro. Joelho sobre o segundo dedo."
Plancha copenhague (modificada),rodillas,main,,Silla o sillón,3×20-30s por lado,Modified Copenhagen Plank,Prancha Copenhague (modificada),Plancha lateral con la rodilla de arriba apoyada en una silla y la pierna de abajo despegada. Cuerpo en línea. Trabaja los aductores.,Side plank with the top knee on a chair and the bottom leg off the floor. Body in a line. This loads the adductors.,Prancha lateral com o joelho de cima apoiado numa cadeira e a perna de baixo descolada. Corpo em linha. Trabalha os adutores.
Plancha lateral dinámica,recuperacion,main,,Sin equipo,45s,Dynamic Side Plank,Prancha lateral dinâmica,"Antebrazo bajo el hombro, cadera arriba, cuerpo en línea. Baja la cadera hasta rozar el piso y vuelve a subir, lento. Rodillas apoyadas si la versión larga te rompe la línea.","Forearm under the shoulder, hips up, body in a line. Lower the hip until it skims the floor and lift back up, slowly. Drop to the knees if the long-lever version breaks the line.","Antebraço sob o ombro, quadril alto, corpo em linha. Desça o quadril até roçar o chão e suba de novo, devagar. Joelhos apoiados se a versão longa quebrar a linha."
"Bajada excéntrica, rodilla flexionada",aquiles,main,,Escalón,3×15 por lado,Bent-Knee Eccentric Calf Lower (Step),Descida excêntrica com joelho flexionado (degrau),"Media planta en el borde del escalón, rodilla flexionada unos 30° todo el movimiento. Sube con las dos, baja con una en tres segundos dejando caer el talón. La rodilla doblada pasa la carga del gemelo al sóleo.","Ball of the foot on the step edge, knee bent about 30° the whole time. Rise on two, lower on one in three seconds and let the heel drop. The bent knee shifts load from calf to soleus.","Meia planta na beira do degrau, joelho flexionado uns 30° o movimento todo. Suba com as duas, desça com uma em três segundos deixando o calcanhar descer. O joelho dobrado passa a carga da panturrilha para o sóleo."
Gemelo en pared,movilidad,main,,Pared,45s,Wall Calf Stretch (Straight Knee),Panturrilha na parede,"Manos en la pared, pierna de atrás recta, talón clavado. Rodilla estirada es gemelo. Cadera adelante y tronco erguido: si te vas de espaldas, perdiste el estiramiento.","Hands on the wall, back leg straight, heel pinned. Straight knee is calf. Hip forward, torso upright: if you lean back, you lost the stretch.","Mãos na parede, perna de trás reta, calcanhar cravado. Joelho esticado é panturrilha. Quadril à frente e tronco ereto: se jogar o tronco para trás, perdeu o alongamento."
Caminata lateral en media sentadilla,recuperacion,main,,Sin equipo,60s,Lateral Walk in Half Squat,Caminhada lateral em meio agachamento,"Media sentadilla, pecho alto. Camina de lado con pasos parejos, sin juntar los pies del todo. Rodillas hacia afuera y cadera a la misma altura. Ida y vuelta.","Half squat, chest tall. Side-step with even strides, feet never fully together. Knees out, hips level. Out and back.","Meio agachamento, peito alto. Ande de lado com passos iguais, sem juntar os pés por completo. Joelhos para fora e quadril na mesma altura. Ida e volta."
Tensor y vasto externo con rodillo,movilidad,variant,Cruce de cadera externa,Rodillo,,Foam Roll: TFL and Vastus Lateralis,Foam roller: TFL e vasto lateral,"Rodillo justo debajo del hueso de la cadera por fuera, después en el lateral del muslo, arriba y adelante. Presión moderada y lenta. No ruedes la cintilla: es tendón, y se inflama.","Roller just under the outside of the hip bone, then on the outer thigh, high and forward. Moderate, slow pressure. Don't roll the IT band: that's tendon, and it inflames.","Rolo logo abaixo do osso do quadril por fora, depois na lateral da coxa, em cima e à frente. Pressão moderada e lenta. Não role a cintilha: é tendão, e inflama."
Isométrico en puntas (piso),aquiles,main,,Sin equipo,3×30-45s,Calf Isometric (Floor),Isométrico na ponta dos pés (chão),"En piso plano, sube a puntas y sostén quieto arriba. Con dolor en la inserción no queremos el talón por debajo del nivel del pie.","On flat ground, rise onto the toes and hold still at the top. With insertional pain we don't want the heel below foot level.","No chão plano, suba nas pontas e sustente quieto no alto. Com dor na inserção não queremos o calcanhar abaixo do nível do pé."
Cuello y trapecio,movilidad,main,,Sin equipo,30s,Upper Trap Stretch,Pescoço e trapézio,"Sentado, la mano del lado que estiras sujeta el asiento. Lleva la oreja al hombro contrario sin encoger el hombro. No tires con la otra mano: el peso de la cabeza alcanza.","Sit, hold the seat with the hand on the side you're stretching. Ear toward the opposite shoulder without shrugging. Don't pull with the other hand: the weight of the head is enough.","Sentado, a mão do lado que alonga segura o assento. Leve a orelha ao ombro contrário sem encolher o ombro. Não puxe com a outra mão: o peso da cabeça chega."
Esfinge suave,movilidad,main,,Sin equipo,60s,Gentle Sphinx,Esfinge suave,"Boca abajo, codos debajo de los hombros, pelvis pesada en el piso. Extensión suave y sostenida, no una cobra. Si aprieta la lumbar, adelanta los codos.","Face down, elbows under the shoulders, pelvis heavy on the floor. A gentle held extension, not a cobra. If the low back pinches, walk the elbows forward.","De bruços, cotovelos sob os ombros, pelve pesada no chão. Extensão suave e sustentada, não uma cobra. Se apertar a lombar, avance os cotovelos."
Antebrazos y muñecas,movilidad,main,,Sin equipo,30s,Forearm and Wrist Stretch,Antebraços e pulsos,"En cuadrupedia, gira la mano hasta que los dedos apunten a las rodillas y siéntate lento hacia atrás. Después apoya el dorso de la mano para el otro lado. No fuerces si pinza.","On all fours, turn the hand so the fingers point at the knees and sit back slowly. Then flip to the back of the hand for the other side. Don't force a pinch.","Em quatro apoios, gire a mão até os dedos apontarem para os joelhos e sente-se devagar para trás. Depois apoie o dorso da mão para o outro lado. Não force se pinçar."
Almeja lenta,recuperacion,main,,Sin equipo,45s,Slow Clamshell,Concha lenta,"De costado, rodillas dobladas, talones juntos. Abre la rodilla de arriba sin que la cadera se caiga hacia atrás. Pon la mano en el glúteo y siente que trabaja ahí. Lento, un segundo arriba.","On your side, knees bent, heels together. Open the top knee without the hip rolling back. Hand on the glute so you can feel it work there. Slow, one second at the top.","De lado, joelhos dobrados, calcanhares juntos. Abra o joelho de cima sem o quadril cair para trás. Mão no glúteo para sentir o trabalho ali. Devagar, um segundo no alto."
Extensión de rodilla (rango terminal),rodillas,main,,Máquina,3×15,Terminal Knee Extension,Extensão de joelho (amplitude terminal),"En la máquina, solo los últimos 30°: de rodilla apenas flexionada a estirada, peso moderado, aprieta arriba. El rango completo cizalla; este pedazo aísla el vasto interno.","On the machine, last 30° only: slightly bent to straight, moderate load, squeeze at the top. Full range shears; this sliver isolates VMO.","Na máquina, só os últimos 30°: do joelho levemente flexionado até esticado, peso moderado, aperte no alto. A amplitude completa cisalha; este pedaço isola o vasto medial."
Isquios boca arriba,movilidad,main,,Sin equipo,45s,Supine Hamstring Stretch,Posteriores de barriga para cima,"Agárrate por detrás del muslo y estira la rodilla hasta donde llegue sin que la cadera se despegue. La otra pierna apoyada. La punta del pie hacia ti solo al final, no desde el principio.","Hold behind the thigh and straighten the knee as far as it goes without the hip leaving the floor. Other leg down. Toes toward you only at the end, not from the start.","Segure atrás da coxa e estenda o joelho até onde for sem a pelve descolar. A outra perna apoiada. A ponta do pé na sua direção só no final, não desde o começo."
Isométrico en puntas (escalón),aquiles,main,,Escalón,3×30-45s,Calf Isometric (Step),Isométrico na ponta dos pés (degrau),"Dos pies en el borde del escalón, sube a puntas y sostén quieto arriba. Si arrancas por aquí, el resto de la sesión suele doler menos.","Both feet on the step edge, rise onto the toes and hold still at the top. Start here and the rest of the session usually hurts less.","Os dois pés na beira do degrau, suba nas pontas e sustente quieto no alto. Se começar por aqui, o resto da sessão costuma doer menos."
Saltos a una pierna,aquiles,main,,Sin equipo,3×10 por lado,Single-Leg Hops,Saltos unipodais,"Saltitos en el lugar sobre una pierna, aterrizando en el metatarso con la rodilla suave. Si mañana amaneces más rígido que hoy, era demasiado pronto.","Small hops in place on one leg, landing on the forefoot with a soft knee. If you wake up stiffer tomorrow than today, it was too soon.","Saltinhos no lugar numa perna só, aterrissando no antepé com o joelho suave. Se amanhã você acordar mais rígido do que hoje, foi cedo demais."
Brazada en seco,activacion,main,,Sin equipo,,Dryland Stroke,Braçada em seco,"Inclínate un poco adelante y haz el gesto de la brazada despacio, codo alto y brazo largo. Es para llegar al agua con el gesto despierto, no para corregir técnica.","Hinge slightly forward and trace the stroke slowly, high elbow, long arm. This is to arrive in the water with the pattern awake, not to rewrite technique.","Incline um pouco à frente e faça o gesto da braçada devagar, cotovelo alto e braço longo. É para chegar na água com o gesto acordado, não para corrigir técnica."
Puente de glúteos con marcha,core-corredor,main,,Sin equipo,1×20 repeticiones,Glute Bridge March,Ponte de glúteos com marcha,"Cadera arriba y fija. Despega un pie llevando la rodilla al pecho y alterna. La pelvis no cae ni rota. Si se hunde, baja el ritmo antes que el rango.","Hips up and locked. Lift one foot, knee to chest, and switch. Pelvis doesn't drop or twist. If it sinks, slow down before you shrink the range.","Quadril alto e fixo. Descole um pé levando o joelho ao peito e alterne. A pelve não cai nem gira. Se afundar, diminua o ritmo antes da amplitude."
Estocada inversa con brazos arriba,recuperacion,main,,Sin equipo,45s,Reverse Lunge with Arms Overhead,Afundo inverso com braços acima,"Paso largo hacia atrás bajando la rodilla, brazos estirados por encima de la cabeza y costillas abajo. Los brazos arriba convierten esto en trabajo de cadera y torácica a la vez.","Long step back, back knee lowering, arms straight overhead, ribs down. The overhead arms turn this into hip and mid-back work at once.","Passo longo para trás descendo o joelho, braços esticados acima da cabeça e costelas para baixo. Os braços no alto transformam isso em trabalho de quadril e torácica ao mesmo tempo."
Caminata de oruga,recuperacion,main,,Sin equipo,60s,Inchworm,Caminhada da lagarta,"De pie, pliégate hacia adelante y camina con las manos hasta plancha, sin mover los pies. Vuelve caminando las manos hacia atrás. Piernas lo más estiradas que aguanten.","Stand, fold forward and walk the hands out to a plank without moving the feet. Walk them back in. Legs as straight as they'll allow.","Em pé, dobre à frente e caminhe com as mãos até a prancha, sem mover os pés. Volte caminhando as mãos para trás. Pernas o mais esticadas que aguentarem."
Sentadilla isométrica en pared,rodillas,main,,Pared · disco opcional,3×45s,Wall Sit (Optional Plate),Isometria na parede (anilha opcional),"Espalda contra la pared, rodillas a ~90°. Empuja los talones como si quisieras arrastrarlos hacia atrás. Puedes poner un disco sobre los muslos. Si hoy la rodilla molesta, empieza por aquí.","Back to the wall, knees around 90°. Drive the heels as if dragging them backward. A plate on the thighs is optional. If the knee is cranky today, start here.","Costas na parede, joelhos a ~90°. Empurre os calcanhares como se quisesse arrastá-los para trás. Pode pôr uma anilha sobre as coxas. Se o joelho incomodar hoje, comece por aqui."
Pogos (saltitos de tobillo),aquiles,main,,Sin equipo,3×20,Ankle Pogos,Pogos (saltinhos de tornozelo),"Saltitos chicos en el lugar, solo desde el tobillo, rodilla casi fija. Contacto corto y que suene poco. No buscas altura: buscas rigidez elástica.","Small hops in place from the ankle only, knee almost locked. Short, quiet contact. You're not chasing height — you're chasing elastic stiffness.","Saltinhos pequenos no lugar, só no tornozelo, joelho quase fixo. Contato curto e que faça pouco barulho. Você não busca altura: busca rigidez elástica."
Elevación de talón sentado,aquiles,main,,Máquina · rango limitado,4×6-8,Seated Calf Raise (Limited Range),Panturrilha sentado (amplitude limitada),"Máquina sentado, pesado, 3 segundos arriba y 3 abajo. Frena cuando el talón llega a la altura del apoyo: no lo dejes caer por debajo. Ese último tramo comprime la inserción.","Seated machine, heavy, 3 seconds up and 3 down. Stop when the heel reaches platform level — don't drop below. That last bit compresses the insertion.","Máquina sentado, pesado, 3 segundos no alto e 3 na descida. Pare quando o calcanhar chegar na altura do apoio: não deixe cair abaixo. Esse último trecho comprime a inserção."
Zancada spiderman con rotación,recuperacion,main,,Sin equipo,60s,Spiderman Lunge with Rotation,Passada homem-aranha com rotação,"Desde plancha, lleva el pie por fuera de la mano del mismo lado. Baja el codo hacia el piso y desde ahí abre el brazo al techo. Varias repeticiones lentas por lado, no una sola sostenida.","From plank, step the foot outside the same-side hand. Drop the elbow toward the floor, then open the arm to the ceiling. A few slow reps per side, not one long hold.","Da prancha, leve o pé por fora da mão do mesmo lado. Desça o cotovelo em direção ao chão e dali abra o braço para o teto. Várias repetições lentas por lado, não uma só sustentada."
"Estiramiento en pared, pierna recta",aquiles,main,,Pared,1×2 min por lado,Wall Calf Stretch (Straight Leg),Alongamento na parede com perna reta,"Manos en la pared, pierna de atrás recta, talón clavado. Estira el gemelo. Mejor con el tejido caliente: estirar un aquiles frío e irritado enciende el cuadro.","Hands on the wall, back leg straight, heel pinned. Stretch the calf. Better on warm tissue: stretching a cold, irritated Achilles is the fastest way to flare it.","Mãos na parede, perna de trás reta, calcanhar cravado. Alongue a panturrilha. Melhor com o tecido quente: alongar um aquiles frio e irritado acende o quadro."
Estocada lateral en media rodilla,movilidad,main,,Sin equipo,45s,Half-Kneeling Lateral Lunge,Afundo lateral meio ajoelhado,"De rodillas, una pierna estirada al costado con el pie apoyado. Lleva la cadera atrás y hacia el lado contrario. Espalda larga. Es el aductor largo.","Kneeling, one leg straight out to the side, foot down. Sit the hip back and toward the opposite side. Long spine. You're after the long adductor.","Ajoelhado, uma perna esticada ao lado com o pé apoiado. Leve o quadril para trás e para o lado contrário. Costas longas. É o adutor longo."
CARs de tobillo,recuperacion,main,,Sin equipo,45s,Ankle CARs,CARs de tornozelo,"Sentado, pierna estirada. Dibuja el círculo más grande que puedas con la punta del pie, en las dos direcciones. Rodilla y pierna quietas. Busca el borde del rango y párate un segundo en cada punto.","Sit, leg straight. Draw the biggest circle you can with the toes, both directions. Knee and shin still. Find the edge of the range and pause a second at each point.","Sentado, perna esticada. Desenhe o círculo maior que conseguir com a ponta do pé, nos dois sentidos. Joelho e perna quietos. Busque a borda da amplitude e fique um segundo em cada ponto."
CARs de cuello,recuperacion,main,,Sin equipo,60s,Neck CARs,CARs de pescoço,"Sentado, hombros quietos. Mentón al pecho, rueda hacia un hombro, oreja atrás, y completa el círculo. Despacísimo. Si aparece mareo o hormigueo, detente.","Sit, shoulders still. Chin to chest, roll toward one shoulder, ear back, complete the circle. Very slow. If dizziness or tingling shows up, stop.","Sentado, ombros quietos. Queixo no peito, role até um ombro, orelha atrás, e complete o círculo. Bem devagar. Se aparecer tontura ou formigamento, pare."
Elevación de punta (tibial anterior),aquiles,main,,Pared de apoyo,3×20,Toe Raises (Tibialis Anterior),Elevação da ponta (tibial anterior),"De espaldas a la pared, talones un paso adelante. Sube las puntas hacia las espinillas lo más alto que puedas y baja lento. Es el antagonista del gemelo.","Back to the wall, heels a step forward. Lift the toes toward the shins as high as you can and lower slowly. That's the calf's antagonist.","De costas para a parede, calcanhares um passo à frente. Suba as pontas em direção às canelas o mais alto que puder e desça devagar. É o antagonista da panturrilha."
Sentadilla con alcance al techo,activacion,main,,Sin equipo,,Squat to Overhead Reach,Agachamento com alcance ao teto,"Baja a sentadilla y al subir estira los brazos al techo, terminando en puntas. Conecta la extensión del tobillo con la apertura del hombro.","Drop into a squat and as you stand reach the arms to the ceiling, finishing on the toes. Link ankle extension with the shoulder opening.","Desça no agachamento e ao subir estenda os braços ao teto, terminando nas pontas. Conecte a extensão do tornozelo com a abertura do ombro."
Aperturas con banda,activacion,main,,Banda larga,,Band Pull-Aparts,Aberturas com faixa,"Banda al frente, brazos estirados a la altura de los hombros. Separa las manos juntando las escápulas. Resistencia baja y muchas repeticiones.","Band in front, arms straight at shoulder height. Pull the hands apart by squeezing the shoulder blades. Light resistance, high reps.","Faixa à frente, braços esticados na altura dos ombros. Afaste as mãos juntando as omoplatas. Resistência baixa e muitas repetições."
Isquios con contracción y suelta,recuperacion,main,,Sin equipo,90s,Hamstring Contract-Relax,Posteriores com contrair e soltar,"Boca arriba, pierna al techo agarrada por detrás del muslo. Empuja el talón contra tus manos al 20% durante 5 segundos, suelta, y sube un poco más. Tres o cuatro ciclos. La pierna de abajo se queda apoyada.","On your back, leg to the ceiling, hold behind the thigh. Press the heel into your hands at 20% for 5 seconds, release, then ease the leg a little higher. Three or four cycles. Bottom leg stays down.","De barriga para cima, perna ao teto segurada atrás da coxa. Empurre o calcanhar contra as mãos a 20% por 5 segundos, solte e suba um pouco mais. Três ou quatro ciclos. A perna de baixo fica apoiada."
Plancha en tensión de streamline,activacion,main,,Sin equipo,40s,Streamline Plank,Prancha em tensão de streamline,"Plancha alta. Mete la pelvis, aprieta el abdomen y alinéate como una flecha, cabeza neutra mirando al piso. Una vez, bien hecha.","High plank. Tuck the pelvis, brace the abs and line up like an arrow, head neutral looking at the floor. Once, done well.","Prancha alta. Encaixe a pelve, aperte o abdômen e alinhe-se como uma flecha, cabeça neutra olhando o chão. Uma vez, bem feita."
Caminata en puntas con peso,aquiles,main,,Mancuernas,3×30s,Weighted Toe Walk,Caminhada na ponta dos pés com peso,"Mancuernas pesadas. Camina lento manteniéndote alto sobre el metatarso, sin que el talón baje. Entrena rigidez de tobillo bajo carga.","Heavy dumbbells. Walk slowly staying high on the forefoot, heels never dropping. You're training ankle stiffness under load.","Halteres pesados. Ande devagar mantendo-se alto no antepé, sem o calcanhar descer. Treina rigidez de tornozelo sob carga."
Excéntricas en escalón,recuperacion,variant,Elevación de talones excéntrica,Escalón,,Step Eccentric Calf Raises,Excentricas no degrau,"Media planta en el borde del escalón. Sube con dos, baja con una dejando caer el talón por debajo, tres segundos. Si ya estás en un protocolo de aquiles, cuenta estas series como parte de aquel.","Ball of the foot on the step edge. Rise on two, lower on one and let the heel drop below, three seconds. If you're already on an Achilles protocol, count these toward that volume.","Meia planta na beira do degrau. Suba com duas, desça com uma deixando o calcanhar cair abaixo, três segundos. Se já está num protocolo de aquiles, conte essas séries como parte daquele."
Remo en el marco de la puerta,hombro,main,,Marco de puerta,3×12 por brazo,Doorframe Row,Remada no batente da porta,"Agarra el marco con una mano, pies cerca, y déjate caer hacia atrás con el cuerpo derecho. Tracciona. Codo atrás pegado al cuerpo, omóplato abajo. Si sientes el cuello, el trapecio superior te ganó.","Hold the frame with one hand, feet close, lean back with a straight body and row. Elbow back by the side, shoulder blade down. If you feel the neck, the upper trap won.","Segure o batente com uma mão, pés perto, e deixe-se cair para trás com o corpo direito. Puxe. Cotovelo atrás colado ao corpo, omoplata para baixo. Se sentir o pescoço, o trapézio superior ganhou."
Rodilla a la pared,recuperacion,main,,Pared,45s,Knee-to-Wall Ankle Drill,Joelho na parede,"Pie a un palmo de la pared. Toca la pared con la rodilla sin que el talón se despegue. Si llegas fácil, aleja el pie un centímetro y vuelve a probar. Mejora con repeticiones, no con fuerza.","Foot a hand-span from the wall. Touch the wall with the knee without the heel lifting. If that's easy, scoot the foot back a centimeter and try again. This improves with reps, not force.","Pé a um palmo da parede. Toque a parede com o joelho sem o calcanhar descolar. Se chegar fácil, afaste o pé um centímetro e tente de novo. Melhora com repetições, não com força."
Pasada de banda por encima,activacion,main,,Banda larga,,Band Pass-Through,Passagem de faixa por cima,"Agarre bien ancho, brazos estirados. Pasa la banda de adelante hacia atrás por encima de la cabeza. Frena apenas se te abran las costillas o se te suban los hombros.","Very wide grip, arms straight. Pass the band from in front to behind overhead. Stop the moment the ribs flare or the shoulders shrug.","Pegada bem aberta, braços esticados. Passe a faixa da frente para trás por cima da cabeça. Pare assim que as costelas abrirem ou os ombros subirem."
Rotación externa con banda,hombro,main,,Banda elástica,3×15-20 por brazo,Band External Rotation,Rotação externa com faixa,"Banda atada a un picaporte, de costado. Codo pegado a las costillas con una toalla enrollada abajo. Gira el antebrazo hacia afuera. Si tiras con el cuerpo, la banda es demasiado dura.","Band on a doorknob, side-on. Elbow pinned to the ribs with a rolled towel in the gap. Rotate the forearm out. If you have to lean, the band is too heavy.","Faixa amarrada numa maçaneta, de lado. Cotovelo colado nas costelas com uma toalha enrolada embaixo. Gire o antebraço para fora. Se puxar com o corpo, a faixa está dura demais."
Elevación de talón sentado,aquiles,main,,Máquina,4×6-8,Seated Calf Raise,Panturrilha sentado,"Máquina sentado, pesado. 3 segundos para subir, 3 para bajar. Rodilla flexionada: trabaja el sóleo.","Seated machine, heavy. 3 seconds up, 3 down. Bent knee: soleus does the work.","Máquina sentado, pesado. 3 segundos para subir, 3 para descer. Joelho flexionado: quem trabalha é o sóleo."
Rodillo: TFL,rodillas,main,,Foam roller,1×60-90s por lado,Foam Roll: TFL,Foam roller: TFL,"El músculo arriba y adelante de la cadera, donde nace la banda iliotibial. No ruedes la cintilla en el costado del muslo: es tendón, no músculo. Rueda aquí arriba.","The muscle high and forward on the hip, where the IT band starts. Don't roll the band on the side of the thigh: that's tendon, not muscle. Roll up here.","O músculo em cima e à frente do quadril, onde nasce a banda iliotibial. Não role a cintilha na lateral da coxa: é tendão, não músculo. Role aqui em cima."
Deslizamiento neural,activacion,main,,Sin equipo,30s,Sciatic Nerve Glide,Deslizamento neural,"Boca arriba, rodilla al pecho. Extiende la pierna hacia el techo mientras llevas la punta del pie hacia ti; suelta y repite, lento. No es un estiramiento: buscas que el nervio deslice. Si tira fuerte, achica el rango.","On your back, knee to chest. Straighten the leg toward the ceiling as you pull the toes toward you; release and repeat, slowly. This is not a stretch: you want the nerve to glide. If it yanks, shrink the range.","De barriga para cima, joelho ao peito. Estenda a perna ao teto levando a ponta do pé na sua direção; solte e repita, devagar. Não é alongamento: você quer o nervo deslizar. Se puxar forte, diminua a amplitude."
Extensión torácica en cuadrupedia,movilidad,main,,Sin equipo,60s,Quadruped Thoracic Extension,Extensão torácica em quatro apoios,"De rodillas, antebrazos adelante y glúteos hacia los talones. Hunde el pecho hacia el piso dejando que se abran las axilas. Si se arquea la lumbar, acerca más los glúteos a los talones.","Kneeling, forearms forward, hips toward the heels. Drop the chest toward the floor and let the armpits open. If the low back arches, sit the hips closer to the heels.","Ajoelhado, antebraços à frente e glúteos em direção aos calcanhares. Afunde o peito no chão deixando as axilas abrirem. Se a lombar arquear, aproxime mais os glúteos dos calcanhares."
